topic_pattern,region,answer_template,url,priority,notes
"forensic services|forensic investigation|forensics",na,"Yes — Jensen Hughes offers forensic and fire investigation services. Here's the page: https://www.jensenhughes.com/services/investigations. For investigation inquiries, email info@jensenhughes.com.",https://www.jensenhughes.com/services/investigations,1,"V6 Rule 5 NA forensics template verbatim"
"forensic services|forensic investigation|forensics",europe,"Yes — Jensen Hughes offers forensic services in Europe. Here's the main page: https://www.jensenhughes.com/europe/services/forensic-investigation. Sub-areas include Marine Forensics (https://www.jensenhughes.com/europe/services/marine-fire-forensics) and Product Liability Investigations (https://www.jensenhughes.com/europe/services/product-liability-investigations). For forensic instructions, email instructus.uk@jensenhughes.com (subject: Forensics Instruction).",https://www.jensenhughes.com/europe/services/forensic-investigation,1,"V6 Rule 5 EU template + Jonathan May 13 sub-areas"
"forensic services|forensic investigation|forensics",pacific,"Forensic investigation is not currently available in Pacific. For forensic inquiries, contact info@jensenhughes.com.",,1,"V6 Rule 5 STEP 1 unavailable region"
"forensic services|forensic investigation|forensics",asia,"Forensic investigation is not currently available in Asia. For forensic inquiries, contact info@jensenhughes.com.",,1,"V6 Rule 5 STEP 1 unavailable region"
"forensic services|forensic investigation|forensics",middle_east,"Forensic investigation is not currently available in Middle East + India. For forensic inquiries, contact info@jensenhughes.com.",,1,"V6 Rule 5 STEP 1 unavailable region"
"marine forensics|marine forensic",europe,"Yes — Jensen Hughes offers Marine Forensics in Europe. Here's the page: https://www.jensenhughes.com/europe/services/marine-fire-forensics. For forensic instructions, email instructus.uk@jensenhughes.com.",https://www.jensenhughes.com/europe/services/marine-fire-forensics,1,"Jonathan May 13 specific complaint"
"product liability|product failure",europe,"Yes — Jensen Hughes offers Product Liability Investigations in Europe. Here's the page: https://www.jensenhughes.com/europe/services/product-liability-investigations. For forensic instructions, email instructus.uk@jensenhughes.com.",https://www.jensenhughes.com/europe/services/product-liability-investigations,1,"V6 Rule 5 sub-area"
"expert witness|litigation support",na,"Yes — Jensen Hughes provides expert witness and litigation support. Here's the page: https://www.jensenhughes.com/services/investigations. For investigation inquiries, email info@jensenhughes.com.",https://www.jensenhughes.com/services/investigations,1,"V6 Rule 5 sub-capability"
"fire engineering|fire engineering services",na,"Yes — Jensen Hughes offers fire engineering. Here's the page: https://www.jensenhughes.com/services/fire-engineering-systems-design.",https://www.jensenhughes.com/services/fire-engineering-systems-design,1,"Rule 10 routing"
"fire engineering|fire engineering services",europe,"Yes — Jensen Hughes offers fire engineering in Europe. Here's the page: https://www.jensenhughes.com/europe/services/fire-engineering-consultancy.",https://www.jensenhughes.com/europe/services/fire-engineering-consultancy,1,"Regional URL slug differs from NA"
"fire engineering|fire engineering services",pacific,"Yes — Jensen Hughes offers fire engineering in Pacific. Here's the page: https://www.jensenhughes.com/pacific/services/fire-engineering.",https://www.jensenhughes.com/pacific/services/fire-engineering,1,"Regional URL slug differs from NA"
"fire engineering|fire engineering services",asia,"Yes — Jensen Hughes offers fire engineering in Asia. Here's the page: https://www.jensenhughes.com/asia/services/fire-engineering-systems-design.",https://www.jensenhughes.com/asia/services/fire-engineering-systems-design,1,"Regional URL slug matches NA"
"fire engineering|fire engineering services",middle_east,"Yes — Jensen Hughes offers fire engineering in Middle East + India. Here's the page: https://www.jensenhughes.com/middle-east/services/fire-engineering-systems-design.",https://www.jensenhughes.com/middle-east/services/fire-engineering-systems-design,1,"Regional URL prefix"
"accessibility|universal design",na,"Yes — Jensen Hughes offers accessibility and universal design. Here's the page: https://www.jensenhughes.com/services/accessibility.",https://www.jensenhughes.com/services/accessibility,1,"V6 Rule 4 NA available"
"accessibility|universal design",europe,"Accessibility + Universal Design is not currently available in Europe. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 EU unavailable"
"accessibility|universal design",pacific,"Yes — Jensen Hughes offers accessibility in Pacific. Here's the page: https://www.jensenhughes.com/pacific/services/accessibility.",https://www.jensenhughes.com/pacific/services/accessibility,1,"V6 Rule 4 Pacific available (corrected from V4 wrong-block)"
"accessibility|universal design",asia,"Accessibility + Universal Design is not currently available in Asia. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 Asia unavailable"
"accessibility|universal design",middle_east,"Yes — Jensen Hughes offers accessibility in Middle East + India. Here's the page: https://www.jensenhughes.com/middle-east/services/accessibility.",https://www.jensenhughes.com/middle-east/services/accessibility,1,"V6 Rule 4 ME available + prefix"
"security risk|security consulting|public safety",na,"Yes — Jensen Hughes offers security risk and public safety consulting. Here's the page: https://www.jensenhughes.com/services/security-risk-public-safety.",https://www.jensenhughes.com/services/security-risk-public-safety,1,"V6 Rule 4 NA available"
"security risk|security consulting|public safety",europe,"Security Risk + Public Safety is not currently available in Europe. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 EU unavailable"
"security risk|security consulting|public safety",pacific,"Security Risk + Public Safety is not currently available in Pacific. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 Pacific unavailable"
"security risk|security consulting|public safety",asia,"Security Risk + Public Safety is not currently available in Asia. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 Asia unavailable"
"security risk|security consulting|public safety",middle_east,"Yes — Jensen Hughes offers security risk consulting in Middle East + India. Here's the page: https://www.jensenhughes.com/middle-east/services/security-risk-public-safety.",https://www.jensenhughes.com/middle-east/services/security-risk-public-safety,1,"V6 Rule 4 ME available"
"emergency management|emergency response",na,"Yes — Jensen Hughes offers emergency management and response. Here's the page: https://www.jensenhughes.com/services/emergency-management-response.",https://www.jensenhughes.com/services/emergency-management-response,1,"V6 Rule 4 NA available"
"emergency management|emergency response",europe,"Emergency Management + Response is not currently available in Europe. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 EU unavailable"
"emergency management|emergency response",pacific,"Emergency Management + Response is not currently available in Pacific. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 Pacific unavailable"
"emergency management|emergency response",asia,"Emergency Management + Response is not currently available in Asia. For more info, contact info@jensenhughes.com.",,1,"V6 Rule 4 Asia unavailable"
"emergency management|emergency response",middle_east,"Yes — Jensen Hughes offers emergency management in Middle East + India. Here's the page: https://www.jensenhughes.com/middle-east/services/emergency-management-response.",https://www.jensenhughes.com/middle-east/services/emergency-management-response,1,"V6 Rule 4 ME available"
"BESS|battery energy storage|lithium ion|lithium-ion",na,"Yes — Jensen Hughes offers lithium-ion risk consulting (BESS / battery energy storage). Here's the page: https://www.jensenhughes.com/services/lithium-ion-risk-consulting.",https://www.jensenhughes.com/services/lithium-ion-risk-consulting,1,"V6 Rule 10 topic-routing"
"combustible dust|DHA|dust hazard analysis",na,"Yes — Jensen Hughes offers combustible dust safety consulting. Here's the page: https://www.jensenhughes.com/services/combustible-dust-safety.",https://www.jensenhughes.com/services/combustible-dust-safety,1,"V6 Rule 10 topic-routing — closes Aldiana 11/17 #4"
"LSFT|large-scale fire testing|UL 9540A",na,"Yes — Jensen Hughes offers Large-Scale Fire Testing (LSFT). Here's the page: https://www.jensenhughes.com/services/large-scale-fire-testing-lsft.",https://www.jensenhughes.com/services/large-scale-fire-testing-lsft,1,"V6 Rule 10 — URL slug fix"
"LNG|liquefied natural gas|cryogenics",na,"Yes — Jensen Hughes offers LNG and cryogenics work via our Process Safety practice. Here's the page: https://www.jensenhughes.com/services/process-safety.",https://www.jensenhughes.com/services/process-safety,1,"V6 Rule 10 topic-routing"
